City ->;Prague;;;Horsham;;;Arkelstorp;;;Jönköping;;;Östersund;;
Date;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather

2014/05/27;14;17;Fair;10;12;Light Rain;11;11;n/a;7;12;Fair;8;12;Fair
2014/05/28;13;18;Light Rain;9;14;Cloudy;8;12;n/a;3;12;Fair;3;14;n/a
2014/05/29;7;12;Cloudy;12;18;Partly Cloudy;8;14;n/a;3;17;n/a;6;18;n/a
2014/05/30;7;16;Fair;8;16;Sunny;9;21;n/a;2;19;Fair;8;17;Cloudy
2014/05/31;8;19;Partly Cloudy;5;19;Sunny;12;17;n/a;3;19;Partly Cloudy;6;11;Mostly Cloudy
2014/06/01;7;19;Fair;12;22;Sunny;11;16;n/a;4;21;Fair;6;17;Fair
2014/06/02;9;18;Fair;12;20;Partly Cloudy;11;17;n/a;4;19;Fair;10;22;Fair
2014/06/03;9;18;Fair;11;18;Fair;11;13;n/a;4;14;Light Rain;10;20;Sunny
2014/06/04;11;22;Fair;7;15;Showers in the Vicinity;12;13;Fog;11;15;Drizzle;9;16;Cloudy
2014/06/05;11;19;Fair;7;18;Sunny;12;14;n/a;12;19;Mostly Cloudy;12;22;Fair
2014/06/06;8;23;Fair;4;23;Sunny;12;16;n/a;8;18;Mostly Cloudy;13;20;Partly Cloudy
2014/06/07;10;27;Fair;12;22;Sunny;13;19;n/a;11;18;Mostly Cloudy;12;19;Light Rain
2014/06/08;14;24;Fair;9;19;Sunny;12;18;n/a;9;24;Fair;11;20;Fair
2014/06/09;16;31;Fair;12;24;Rain Shower;16;24;n/a;12;24;Fair;11;16;Partly Cloudy
2014/06/10;15;31;Fair;11;20;Fair;15;19;n/a;7;24;Fair;10;21;Fair
2014/06/11;18;31;Fair;9;21;Sunny;15;17;Rain;12;22;Partly Cloudy;11;21;Light Rain
2014/06/12;17;24;Fair;8;24;Sunny;14;20;n/a;12;20;Fair;10;17;Fair
2014/06/13;13;21;Fair;9;24;Sunny;12;18;n/a;10;16;Mostly Cloudy;6;12;Fair
2014/06/14;12;18;Fair;13;22;Sunny;12;18;n/a;5;16;n/a;5;17;Fair
2014/06/15;11;19;Clear;12;18;Partly Cloudy;12;19;n/a;1;21;Fair;8;12;Mostly Cloudy
2014/06/16;9;21;Clear;11;18;Mostly Cloudy;13;18;n/a;7;17;Fair;5;10;Mostly Cloudy
2014/06/17;12;21;Clear;12;21;Fair;12;17;n/a;3;18;Fair;6;10;Mostly Cloudy
2014/06/18;9;23;Partly Cloudy;12;22;Sunny;13;21;n/a;6;22;Fair;8;12;Mostly Cloudy
2014/06/19;13;23;Clear;9;22;Mostly Cloudy;12;17;n/a;9;19;Fair;5;11;Mostly Cloudy
2014/06/20;11;16;Clear;8;22;Sunny;12;18;n/a;4;15;Fair;4;8;n/a
2014/06/21;12;17;Clear;11;23;Sunny;11;14;n/a;5;13;Partly Cloudy;2;7;Light Rain
2014/06/22;12;19;Clear;11;24;Sunny;10;14;n/a;4;16;Fair;3;10;Fair
2014/06/23;11;20;Clear;9;24;Partly Cloudy;11;15;n/a;4;15;Fair;6;15;Fair
2014/06/24;11;22;Partly Cloudy;11;25;Partly Cloudy;10;16;n/a;5;17;Fair;6;14;Partly Cloudy
2014/06/25;10;16;Partly Cloudy;11;21;Sunny;11;16;n/a;4;19;Fair;7;13;Fair
2014/06/26;9;18;Fair;8;21;Light Rain;12;17;n/a;6;17;Fair;6;10;Light Rain
2014/06/27;9;24;Clear;13;22;Partly Cloudy;13;17;n/a;3;17;Mostly Cloudy;6;10;Cloudy
2014/06/28;14;26;Clear;10;19;Fair;13;16;n/a;9;13;Partly Cloudy;7;14;n/a
2014/06/29;14;21;Light Rain;10;19;Sunny;14;16;n/a;11;17;Partly Cloudy;7;12;Light Rain
2014/06/30;11;19;Partly Cloudy;8;22;Sunny;12;21;n/a;10;17;Partly Cloudy;9;15;Fair
2014/07/01;11;19;Clear;8;22;Sunny;12;19;n/a;6;18;Mostly Cloudy;8;18;Fair
2014/07/02;11;22;Clear;7;23;Sunny;13;18;n/a;7;19;Fair;9;19;Fair
2014/07/03;11;26;Clear;10;24;Sunny;13;17;n/a;11;15;Partly Cloudy;9;17;n/a
2014/07/04;13;28;Clear;12;24;Partly Cloudy;14;19;n/a;12;22;Fair;8;20;Fair
2014/07/05;17;27;Light Rain;15;21;Fair;16;19;n/a;12;26;n/a;14;24;n/a
2014/07/06;18;28;Clear;12;21;Fair;16;23;n/a;14;25;Partly Cloudy;14;23;n/a
2014/07/07;15;31;Partly Cloudy;7;22;Fair;17;21;Mist;16;27;Fair;11;24;n/a
2014/07/08;18;28;Light Rain;9;21;Cloudy;18;22;Light Rain/Windy;16;28;Fair;16;25;n/a
2014/07/09;13;19;Mostly Cloudy;12;22;Sunny;19;23;n/a;18;26;Fair;16;27;n/a
2014/07/10;12;17;Mostly Cloudy;13;18;Sunny;18;23;n/a;17;27;Fair;18;27;n/a
2014/07/11;13;23;Partly Cloudy;11;19;Mostly Cloudy;16;21;n/a;14;22;Fair;16;24;n/a
2014/07/12;13;22;Clear;15;25;Sunny;14;19;n/a;10;20;Light Drizzle;16;24;n/a
2014/07/13;11;24;Mostly Cloudy;15;24;Fair;16;18;n/a;15;17;Partly Cloudy;13;23;Partly Cloudy
2014/07/14;15;24;Clear;9;22;Partly Cloudy;16;19;n/a;12;20;Partly Cloudy;15;20;n/a
2014/07/15;14;27;Clear;15;26;Sunny;16;22;n/a;10;21;Light Rain;15;17;Partly Cloudy
2014/07/16;17;27;Clear;12;26;Sunny;17;23;n/a;10;20;Fair;12;16;n/a
2014/07/17;19;27;Clear;13;28;Sunny;15;21;n/a;8;22;Fair;11;21;Light Rain
2014/07/18;16;29;Clear;18;28;Partly Cloudy;16;22;n/a;10;24;Fair;13;19;Partly Cloudy
2014/07/19;17;30;Clear;16;28;Sunny;17;23;n/a;8;25;Partly Cloudy;12;22;n/a
2014/07/20;17;32;Fair;16;24;Rain Shower;18;22;n/a;10;24;Fair;13;24;Partly Cloudy
2014/07/21;19;29;Thunderstorm;16;25;Partly Cloudy;17;23;n/a;9;25;Fair;16;25;n/a
2014/07/22;18;27;Clear;13;27;Fair;18;24;n/a;9;26;Fair;17;28;n/a
2014/07/23;17;27;Clear;16;28;Sunny;18;24;n/a;10;26;Fair;18;27;n/a
2014/07/24;14;22;Mostly Cloudy;16;28;Sunny;18;24;n/a;9;28;Fair;17;27;n/a
2014/07/25;14;26;Clear;15;27;Sunny;19;25;n/a;10;28;Fair;18;26;n/a
2014/07/26;14;28;Clear;17;28;Sunny;19;24;n/a;15;17;Light Rain;16;28;n/a
2014/07/27;17;30;Clear;14;24;Sunny;20;23;n/a;14;25;n/a;16;28;Partly Cloudy
2014/07/28;18;27;Clear;13;23;Sunny;19;25;Mist;11;26;Fair;16;23;n/a
2014/07/29;16;26;Clear;16;26;Sunny;19;24;n/a;14;28;Fair;14;23;n/a
2014/07/30;18;26;Clear;16;25;Sunny;18;24;n/a;11;23;Fair;14;25;Partly Cloudy
2014/07/31;18;23;Clear;12;24;Fair;17;23;n/a;12;22;Fair;13;21;Mostly Cloudy
2014/08/01;14;24;Clear;13;23;Sunny;18;23;n/a;12;24;Fair;12;18;Partly Cloudy
2014/08/02;17;30;Fair;13;23;Fair;19;22;n/a;12;25;Light Rain;10;22;Cloudy
2014/08/03;18;28;Mostly Cloudy;9;22;Sunny;21;24;n/a;17;30;Fair;15;23;Partly Cloudy
2014/08/04;16;23;Clear;11;23;Showers in the Vicinity;19;24;n/a;14;25;Mostly Cloudy;17;29;Partly Cloudy
2014/08/05;14;23;Clear;9;24;Sunny;16;19;n/a;13;16;Light Rain;16;21;Mostly Cloudy
2014/08/06;15;24;Clear;16;25;Fair;16;22;n/a;11;22;Fair;15;22;Partly Cloudy
2014/08/07;13;24;Clear;12;26;Sunny;17;22;n/a;9;23;Fair;14;22;Partly Cloudy
2014/08/08;17;27;Clear;13;23;Light Rain;19;22;n/a;10;22;Fair;13;22;Partly Cloudy
2014/08/09;14;28;Mostly Cloudy;12;22;Sunny;17;23;n/a;9;23;Partly Cloudy;14;23;n/a
2014/08/10;15;31;Clear;14;21;Partly Cloudy;16;21;n/a;10;21;n/a;14;21;Fair
2014/08/11;15;24;Clear;11;19;Partly Cloudy;18;22;n/a;12;21;Fair;13;20;Cloudy
2014/08/12;14;22;Fair;11;20;Partly Cloudy;15;21;n/a;10;18;Partly Cloudy;11;18;Fair
2014/08/13;12;20;Light Rain;11;22;Sunny;17;21;n/a;9;18;Fair;11;18;Fair
2014/08/14;14;21;Clear;11;19;Partly Cloudy;14;22;n/a;10;20;Fair;10;18;Mostly Cloudy
2014/08/15;11;21;Light Rain;9;20;Clear;16;21;n/a;10;19;Fair;10;16;Partly Cloudy
2014/08/16;12;21;Mostly Cloudy;11;19;Partly Cloudy;14;18;n/a;10;19;n/a;7;14;Fair
2014/08/17;12;20;Clear;13;19;Fair;13;16;Rain Shower;10;14;Partly Cloudy;8;13;Light Rain
2014/08/18;14;21;Clear;10;19;Clear;13;16;n/a;9;12;Partly Cloudy;9;13;Partly Cloudy
2014/08/19;11;21;Clear;8;18;Clear;13;17;n/a;9;15;Mostly Cloudy;8;15;Partly Cloudy
2014/08/20;11;19;Clear;5;18;Clear;12;16;n/a;11;16;Partly Cloudy;10;14;Cloudy
2014/08/21;11;19;Clear;4;18;Clear;11;16;n/a;9;15;Fair;10;14;Mostly Cloudy
2014/08/22;9;22;Clear;9;19;Clear;12;16;n/a;8;16;Mostly Cloudy;10;15;Fair
2014/08/23;9;22;Clear;7;18;Clear;12;17;n/a;8;14;n/a;9;14;Mostly Cloudy
2014/08/24;8;17;Clear;4;19;Clear;11;17;n/a;8;15;Mostly Cloudy;10;12;Cloudy
2014/08/25;7;19;Clear;11;17;Light Rain;11;16;n/a;8;14;Partly Cloudy;9;13;Fair
